"chat";"male";"2009-05-14 06:42:00";"Boucan";
"chat";"femelle";"2006-05-19 16:06:00";"Callune";
"chat";"femelle";"2009-05-14 06:45:00";"Boule";
"chat";"femelle";"2008-04-20 03:26:00";"Zara";
"chat";"femelle";"2007-03-12 12:00:00";"Milla";
"chat";"femelle";"2006-05-19 15:59:00";"Feta";
"chat";"femelle";"2008-04-20 03:20:00";"Bilba";"Sourde de l'oreille droite Ã  80%"
"chat";"femelle";"2007-03-12 11:54:00";"Cracotte";
"chat";"femelle";"2006-05-19 16:16:00";"Cawette";
"tortue";"femelle";"2007-04-01 18:17:00";"Nikki";
"tortue";"femelle";"2009-03-24 08:23:00";"Tortilla";
"tortue";"femelle";"2009-03-26 01:24:00";"Scroupy";
"tortue";"femelle";"2006-03-15 14:56:00";"Lulla";
"tortue";"femelle";"2008-03-15 12:02:00";"Dana";
"tortue";"femelle";"2009-05-25 19:57:00";"Cheli";
"tortue";"femelle";"2007-04-01 03:54:00";"Chicaca";
"tortue";"femelle";"2006-03-15 14:26:00";"Redbul";"Insomniaque"
"tortue";"male";"2007-04-02 01:45:00";"Spoutnik";
"tortue";"male";"2008-03-16 08:20:00";"Bubulle";
"tortue";"male";"2008-03-15 18:45:00";"Relou";"Surpoids"
"tortue";"male";"2009-05-25 18:54:00";"Bulbizard";
"perroquet";"male";"2007-03-04 19:36:00";"Safran";
"perroquet";"male";"2008-02-20 02:50:00";"Gingko";
"perroquet";"male";"2009-03-26 08:28:00";"Bavard";
"perroquet";"femelle";"2009-03-26 07:55:00";"Parlotte";

